real, image
-0.690909, -0.090909
-0.690909, -0.045455
-0.690909, -0.000000
-0.690909, 0.045455
-0.690909, 0.090909
-0.690909, 0.136364
-0.690909, 0.181818
-0.690909, 0.227273
-0.690909, 0.272727
-0.677273, -0.272727
-0.677273, -0.227273
-0.677273, -0.181818
-0.677273, -0.136364
-0.677273, -0.090909
-0.677273, -0.045455
-0.677273, -0.000000
-0.677273, 0.045455
-0.677273, 0.090909
-0.677273, 0.136364
-0.677273, 0.181818
-0.677273, 0.227273
-0.677273, 0.272727
-0.663636, -0.318182
-0.663636, -0.272727
-0.663636, -0.227273
-0.663636, -0.181818
-0.663636, -0.136364
-0.663636, -0.090909
-0.663636, -0.045455
-0.663636, -0.000000
-0.663636, 0.045455
-0.663636, 0.090909
-0.663636, 0.136364
-0.663636, 0.181818
-0.663636, 0.227273
-0.663636, 0.272727
-0.663636, 0.318182
-0.650000, -0.318182
-0.650000, -0.272727
-0.650000, -0.227273
-0.650000, -0.181818
-0.650000, -0.136364
-0.650000, -0.090909
-0.650000, -0.045455
-0.650000, -0.000000
-0.650000, 0.045455
-0.650000, 0.090909
-0.650000, 0.136364
-0.650000, 0.181818
-0.650000, 0.227273
-0.650000, 0.272727
-0.650000, 0.318182
-0.636364, -0.363636
-0.636364, -0.318182
-0.636364, -0.272727
-0.636364, -0.227273
-0.636364, -0.181818
-0.636364, -0.136364
-0.636364, -0.090909
-0.636364, -0.045455
-0.636364, -0.000000
-0.636364, 0.045455
-0.636364, 0.090909
-0.636364, 0.136364
-0.636364, 0.181818
-0.636364, 0.227273
-0.636364, 0.272727
-0.636364, 0.318182
-0.636364, 0.363636
-0.622727, -0.409091
-0.622727, -0.363636
-0.622727, -0.318182
-0.622727, -0.272727
-0.622727, -0.227273
-0.622727, -0.181818
-0.622727, -0.136364
-0.622727, -0.090909
-0.622727, -0.045455
-0.622727, -0.000000
-0.622727, 0.045455
-0.622727, 0.090909
-0.622727, 0.136364
-0.622727, 0.181818
-0.622727, 0.227273
-0.622727, 0.272727
-0.622727, 0.318182
-0.622727, 0.363636
-0.622727, 0.409091
-0.609091, -0.363636
-0.609091, -0.318182
-0.609091, -0.272727
-0.609091, -0.227273
-0.609091, -0.181818
-0.609091, -0.136364
-0.609091, -0.090909
-0.609091, -0.045455
-0.609091, -0.000000
-0.609091, 0.045455
-0.609091, 0.090909
-0.609091, 0.136364
-0.609091, 0.181818
-0.609091, 0.227273
-0.609091, 0.272727
-0.609091, 0.318182
-0.609091, 0.363636
-0.595455, -0.409091
-0.595455, -0.363636
-0.595455, -0.318182
-0.595455, -0.272727
-0.595455, -0.227273
-0.595455, -0.181818
-0.595455, -0.136364
-0.595455, -0.090909
-0.595455, -0.045455
-0.595455, -0.000000
-0.595455, 0.045455
-0.595455, 0.090909
-0.595455, 0.136364
-0.595455, 0.181818
-0.595455, 0.227273
-0.595455, 0.272727
-0.595455, 0.318182
-0.595455, 0.363636
-0.595455, 0.409091
-0.581818, -0.409091
-0.581818, -0.363636
-0.581818, -0.318182
-0.581818, -0.272727
-0.581818, -0.227273
-0.581818, -0.181818
-0.581818, -0.136364
-0.581818, -0.090909
-0.581818, -0.045455
-0.581818, -0.000000
-0.581818, 0.045455
-0.581818, 0.090909
-0.581818, 0.136364
-0.581818, 0.181818
-0.581818, 0.227273
-0.581818, 0.272727
-0.581818, 0.318182
-0.581818, 0.363636
-0.581818, 0.409091
-0.568182, -0.454545
-0.568182, -0.409091
-0.568182, -0.363636
-0.568182, -0.318182
-0.568182, -0.272727
-0.568182, -0.227273
